event_id,download_date,user_id,app,category,rating,reviews,app_size,installs,app_type,price,content_rating,genres,last_updated,current_version,android_version,app_id,user_name,user_age,user_location
43,2021-03-30 16:28:36,225,Paint Splash!,ART_AND_DESIGN,3.8,2206,1200000.0,100000,Free,0.0,Everyone,Art & Design;Creativity,2018-04-15,1.46,4.1 and up,7371,Michael Johnson,28,Montana
44,2021-03-30 16:28:37,713,Popsicle Sticks and Similar DIY Craft Ideas,ART_AND_DESIGN,4.2,26,12000000.0,10000,Free,0.0,Everyone,Art & Design,2018-01-03,1.0.0,4.1 and up,7602,Sierra Bauer,21,Washington
45,2021-03-30 16:28:38,320,"Canva: Poster, banner, card maker & graphic design",ART_AND_DESIGN,4.7,174531,24000000.0,10000000,Free,0.0,Everyone,Art & Design,2018-07-31,1.6.1,4.1 and up,2872,Jamie Hayes,59,Colorado
46,2021-03-30 16:28:39,431,Install images with music to make video without Net - 2018,ART_AND_DESIGN,4.6,1070,26000000.0,100000,Free,0.0,Everyone,Art & Design,2017-11-14,1.6,4.1 and up,5900,Sydney Carter,16,New Mexico
47,2021-03-30 16:28:40,467,Little Teddy Bear Colouring Book Game,ART_AND_DESIGN,4.2,85,8000000.0,100000,Free,0.0,Everyone,Art & Design,2017-12-17,2.0.0,4.1 and up,6343,Lauren Perez,21,Iowa
48,2021-03-30 16:28:41,408,How To Draw Food,ART_AND_DESIGN,4.3,845,7900000.0,100000,Free,0.0,Everyone,Art & Design,2018-05-28,1.0,2.3 and up,5762,Patrick Thompson,51,Kentucky
49,2021-03-30 16:28:42,805,Monster Truck Stunt 3D 2019,AUTO_AND_VEHICLES,4.2,367,25000000.0,100000,Free,0.0,Everyone,Auto & Vehicles,2018-05-10,1.0,4.0.3 and up,6797,Carlos Sanchez,23,Alabama
50,2021-03-30 16:28:43,428,Real Tractor Farming,AUTO_AND_VEHICLES,4.0,1598,56000000.0,1000000,Free,0.0,Everyone,Auto & Vehicles,2018-07-26,11.0,4.1 and up,7880,Devon Brown,23,North Dakota
51,2021-03-30 16:28:44,853,Ultimate F1 Racing Championship,AUTO_AND_VEHICLES,3.8,284,57000000.0,100000,Free,0.0,Everyone,Auto & Vehicles,2018-07-26,3.0,4.1 and up,9214,Dr. Michael Dominguez,49,Montana
52,2021-03-30 16:28:45,965,Used Cars and Trucks for Sale,AUTO_AND_VEHICLES,4.6,17057,0.0,1000000,Free,0.0,Everyone,Auto & Vehicles,2018-07-30,Varies with device,Varies with device,9257,Christopher Ross,57,Mississippi
53,2021-03-30 16:28:46,521,American Muscle Car Race,AUTO_AND_VEHICLES,3.9,129,35000000.0,100000,Free,0.0,Everyone,Auto & Vehicles,2018-07-26,3.0,4.1 and up,1195,Meghan Rodriguez,21,Delaware
54,2021-03-30 16:28:47,157,Offroad Oil Tanker Driver Transport Truck 2019,AUTO_AND_VEHICLES,4.3,542,33000000.0,100000,Free,0.0,Everyone,Auto & Vehicles,2018-07-31,4.0,4.1 and up,7219,Mrs. Michelle Hall DDS,30,Michigan
55,2021-03-30 16:28:48,995,Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru,AUTO_AND_VEHICLES,4.9,10479,33000000.0,100000,Free,0.0,Everyone,Auto & Vehicles,2018-07-18,1.7.1,4.0 and up,8970,Joyce Jackson,49,Oregon
56,2021-03-30 16:28:49,727,Gas Prices (Germany only),AUTO_AND_VEHICLES,4.4,805,5600000.0,50000,Free,0.0,Everyone,Auto & Vehicles,2018-07-29,2.5.1,4.4 and up,5311,James Huff,18,Connecticut
57,2021-03-30 16:28:50,259,Extreme Rally Championship,AUTO_AND_VEHICLES,4.2,129,54000000.0,100000,Free,0.0,Everyone,Auto & Vehicles,2018-07-26,3.0,4.1 and up,4571,Matthew Henry,31,Kansas
58,2021-03-30 16:28:51,483,Restart Navigator,AUTO_AND_VEHICLES,4.0,1403,201000.0,100000,Free,0.0,Everyone,Auto & Vehicles,2014-08-26,1.0.1,2.2 and up,7940,Tonya Cummings,40,Arizona
59,2021-03-30 16:28:52,647,"REG - Check the regnumber, find information about Swedish vehicles",AUTO_AND_VEHICLES,3.9,3971,3600000.0,100000,Free,0.0,Everyone,Auto & Vehicles,2018-07-30,2.493,4.4 and up,7790,Anthony Hawkins,61,Washington
60,2021-03-30 16:28:53,342,CityBus Lviv,AUTO_AND_VEHICLES,4.6,534,5700000.0,10000,Free,0.0,Everyone,Auto & Vehicles,2018-07-08,1.9.1,4.0.3 and up,3052,Tina Williams,58,Nebraska
61,2021-03-30 16:28:54,243,CDL Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,7774,17000000.0,100000,Free,0.0,Everyone,Auto & Vehicles,2018-07-03,1.7,4.2 and up,2455,Erin Jordan,34,Indiana
62,2021-03-30 16:28:55,480,"ezETC (ETC balance inquiry, meter trial, real-time traffic)",AUTO_AND_VEHICLES,4.3,38846,8600000.0,1000000,Free,0.0,Everyone,Auto & Vehicles,2018-07-28,2.20 Build 02,4.1 and up,9952,Samuel Davis,29,Maine
63,2021-03-30 16:28:56,764,Free VIN Report for Used Cars,AUTO_AND_VEHICLES,4.6,2431,2400000.0,100000,Free,0.0,Everyone,Auto & Vehicles,2018-06-12,1.37,4.0 and up,5147,Erin Watson,47,Maryland
64,2021-03-30 16:28:57,404,DMV Permit Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,6090,27000000.0,100000,Free,0.0,Everyone,Auto & Vehicles,2018-07-03,1.7,4.2 and up,3466,Christopher Perez,44,Hawaii
65,2021-03-30 16:28:58,616,Check Vehicle Tax,AUTO_AND_VEHICLES,3.9,295,2700000.0,10000,Free,0.0,Everyone,Auto & Vehicles,2018-07-30,0.2.1,4.4 and up,2983,Shannon Carroll,54,North Carolina
66,2021-03-30 16:28:59,570,Used Cars Mexico,AUTO_AND_VEHICLES,4.0,190,2500000.0,50000,Free,0.0,Everyone,Auto & Vehicles,2016-10-14,1.0,2.3 and up,9256,Mr. Gerald Ryan,55,Washington
67,2021-03-30 16:29:00,433,Ulysse Speedometer,AUTO_AND_VEHICLES,4.3,40211,0.0,5000000,Free,0.0,Everyone,Auto & Vehicles,2018-07-30,Varies with device,Varies with device,9223,Michael Wang,49,California
68,2021-03-30 16:29:01,793,REPUVE,AUTO_AND_VEHICLES,3.9,356,0.0,100000,Free,0.0,Everyone,Auto & Vehicles,2018-05-25,Varies with device,Varies with device,7793,Tina Stone,16,South Carolina
69,2021-03-30 16:29:02,975,Used cars for sale - Trovit,AUTO_AND_VEHICLES,4.2,52530,7000000.0,5000000,Free,0.0,Everyone,Auto & Vehicles,2018-07-16,4.47.3,4.0.3 and up,9260,Monica Webster,21,New Jersey
70,2021-03-30 16:29:03,72,"Fines of the State Traffic Safety Inspectorate are official: inspection, payment of fines",AUTO_AND_VEHICLES,4.8,116986,35000000.0,5000000,Free,0.0,Everyone,Auto & Vehicles,2018-08-02,1.9.7,4.0.3 and up,4959,James Fitzgerald,63,Rhode Island
71,2021-03-30 16:29:04,29,SK Enca Direct Malls - Used Cars Search,AUTO_AND_VEHICLES,3.6,1379,16000000.0,500000,Free,0.0,Everyone,Auto & Vehicles,2018-08-02,2.2.21,4.2 and up,8088,Kathryn White,24,New Jersey
72,2021-03-30 16:29:05,285,"Android Auto - Maps, Media, Messaging & Voice",AUTO_AND_VEHICLES,4.2,271920,16000000.0,10000000,Free,0.0,Teen,Auto & Vehicles,2018-07-11,Varies with device,5.0 and up,1214,Elizabeth Stewart,63,Maryland
73,2021-03-30 16:29:06,720,PDD-UA,AUTO_AND_VEHICLES,4.8,736,0.0,100000,Free,0.0,Everyone,Auto & Vehicles,2018-07-29,2.9,2.3.3 and up,7320,Edward Chambers,36,Ohio
74,2021-03-30 16:29:07,929,Tickets SDA 2019 + Exam RF,AUTO_AND_VEHICLES,4.8,7021,17000000.0,500000,Free,0.0,Everyone,Auto & Vehicles,2018-07-27,1.79,4.0 and up,8971,Dana Myers,37,Arizona
75,2021-03-30 16:29:08,669,Super Cars Wallpapers And Backgrounds,AUTO_AND_VEHICLES,4.6,197,3400000.0,50000,Free,0.0,Everyone,Auto & Vehicles,2018-06-14,1.3,4.0 and up,8598,Christian Donovan,56,Michigan
76,2021-03-30 16:29:09,686,"Police Lights, Sirens & Follow Me",AUTO_AND_VEHICLES,4.5,737,8900000.0,100000,Free,0.0,Everyone,Auto & Vehicles,2018-06-08,2.3.5.1,4.1 and up,7591,Nathan Rodriguez,26,Colorado
77,2021-03-30 16:29:10,306,Police Detector (Speed Camera Radar),AUTO_AND_VEHICLES,4.3,3574,3900000.0,1000000,Free,0.0,Everyone 10+,Auto & Vehicles,2018-07-04,1.6,4.0 and up,7589,Amber Irwin,18,New Hampshire
78,2021-03-30 16:29:11,125,Best Car Wallpapers,AUTO_AND_VEHICLES,4.5,994,2900000.0,100000,Free,0.0,Everyone,Auto & Vehicles,2018-03-27,1.6,4.1 and up,2046,Michael Hensley MD,40,Arkansas
79,2021-03-30 16:29:12,436,Tickets + PDA 2018 Exam,AUTO_AND_VEHICLES,4.9,197136,38000000.0,1000000,Free,0.0,Everyone,Auto & Vehicles,2018-07-15,8.31,4.1 and up,8969,Rachel Martin,35,Pennsylvania
80,2021-03-30 16:29:13,602,Pick Your Part Garage,AUTO_AND_VEHICLES,3.9,142,32000000.0,50000,Free,0.0,Everyone,Auto & Vehicles,2018-07-24,1.1.5.0,6.0 and up,7494,Heather Robinson,52,Rhode Island
81,2021-03-30 16:29:14,568,PakWheels: Buy & Sell Cars,AUTO_AND_VEHICLES,4.4,15168,37000000.0,1000000,Free,0.0,Everyone,Auto & Vehicles,2018-07-27,10.0.2,4.2 and up,7374,Samuel Richardson,52,New York
82,2021-03-30 16:29:15,513,Supervision service,AUTO_AND_VEHICLES,4.0,2155,15000000.0,500000,Free,0.0,Everyone,Auto & Vehicles,2018-07-30,1.10.3,5.0 and up,8636,George Malone,34,Ohio
83,2021-03-30 16:29:16,121,Speed Camera Detector - Traffic & Speed Alert,AUTO_AND_VEHICLES,4.3,138,5400000.0,100000,Free,0.0,Everyone,Auto & Vehicles,2018-07-23,1.0,4.0.3 and up,8466,Matthew Williams,48,Idaho
84,2021-03-30 16:29:17,393,Used car search Goo net whole car Go to net,AUTO_AND_VEHICLES,3.7,5414,18000000.0,1000000,Free,0.0,Everyone,Auto & Vehicles,2018-07-23,3.20.1,4.4 and up,9259,Jennifer Martin,44,Maine
85,2021-03-30 16:29:18,695,CarMax – Cars for Sale: Search Used Car Inventory,AUTO_AND_VEHICLES,4.4,21777,0.0,1000000,Free,0.0,Everyone,Auto & Vehicles,2018-08-04,Varies with device,Varies with device,2891,Joseph Fuller,48,New Hampshire
86,2021-03-30 16:29:19,958,BEST CAR SOUNDS,AUTO_AND_VEHICLES,4.3,348,38000000.0,100000,Free,0.0,Everyone,Auto & Vehicles,2018-07-29,1.0.3,2.3 and up,1517,Katherine Mckinney,29,Oklahoma
87,2021-03-30 16:29:20,938,RST - Sale of cars on the PCT,AUTO_AND_VEHICLES,3.2,250,1100000.0,100000,Free,0.0,Everyone,Auto & Vehicles,2018-04-27,1.4,4.0.3 and up,7807,Lucas Lawson,17,Massachusetts
88,2021-03-30 16:29:21,453,AutoScout24 Switzerland – Find your new car,AUTO_AND_VEHICLES,4.6,13372,0.0,1000000,Free,0.0,Everyone,Auto & Vehicles,2018-08-03,Varies with device,Varies with device,1369,Nancy Collins,62,Wyoming
89,2021-03-30 16:29:22,895,Zona Azul Digital Fácil SP CET - OFFICIAL São Paulo,AUTO_AND_VEHICLES,4.6,7880,0.0,100000,Free,0.0,Everyone,Auto & Vehicles,2018-05-10,4.6.5,Varies with device,9800,John Hensley,41,Kansas
90,2021-03-30 16:29:23,678,SMS Park,AUTO_AND_VEHICLES,4.5,3617,7900000.0,100000,Free,0.0,Everyone,Auto & Vehicles,2018-05-16,2.8.2,4.1 and up,8096,Carla Welch,24,Minnesota
91,2021-03-30 16:29:24,423,SKencar,AUTO_AND_VEHICLES,3.7,4806,35000000.0,1000000,Free,0.0,Everyone,Auto & Vehicles,2018-07-31,4.0.3,4.0.3 and up,8091,Amanda Buchanan MD,60,South Carolina
92,2021-03-30 16:29:25,943,Fuelio: Gas log & costs,AUTO_AND_VEHICLES,4.6,65786,0.0,1000000,Free,0.0,Everyone,Auto & Vehicles,2018-08-02,Varies with device,4.0.3 and up,5196,Michael Thomas,16,Kentucky
93,2021-03-30 16:29:26,555,auto fines,AUTO_AND_VEHICLES,4.6,31433,17000000.0,1000000,Free,0.0,Everyone,Auto & Vehicles,2018-08-02,1.40,4.0.3 and up,9835,Patrick Walton,59,Nevada
94,2021-03-30 16:29:27,388,"Used car is the first car - used car purchase, used car quotation, dealer information to",AUTO_AND_VEHICLES,4.6,5097,19000000.0,1000000,Free,0.0,Everyone,Auto & Vehicles,2018-07-23,1.5.18,4.0.3 and up,9258,Lisa Shelton,55,Nebraska
95,2021-03-30 16:29:28,612,All of the parking lot - National Park application (parking lot search / parking sharing / discount payment),AUTO_AND_VEHICLES,4.0,1754,14000000.0,500000,Free,0.0,Everyone,Auto & Vehicles,2018-06-02,2.3.4,4.0 and up,1163,Michael White DVM,54,Hawaii
96,2021-03-30 16:29:29,872,Inquiry Fines and Debits of Vehicles,AUTO_AND_VEHICLES,4.4,2680,2200000.0,500000,Free,0.0,Everyone,Auto & Vehicles,2018-03-20,1.03,4.0.3 and up,5886,Joshua Haynes,31,Virginia
97,2021-03-30 16:29:30,280,Gas Station,AUTO_AND_VEHICLES,4.0,1288,4500000.0,100000,Free,0.0,Everyone,Auto & Vehicles,2018-04-21,2.17,4.0 and up,5312,Jacob Ingram,44,Florida
98,2021-03-30 16:29:31,203,Hush - Beauty for Everyone,BEAUTY,4.7,18900,17000000.0,500000,Free,0.0,Everyone,Beauty,2018-08-02,6.10.1,5.0 and up,5789,Edward Becker,20,Mississippi
99,2021-03-30 16:29:32,778,"ipsy: Makeup, Beauty, and Tips",BEAUTY,4.9,49790,14000000.0,1000000,Free,0.0,Everyone,Beauty,2017-11-09,2.3.0,4.1 and up,10009,Paige Greene,21,California
100,2021-03-30 16:29:33,420,Natural recipes for your beauty,BEAUTY,4.7,1150,9800000.0,100000,Free,0.0,Everyone,Beauty,2018-05-15,4.0,4.1 and up,7034,Dr. Karen Ortiz,39,Illinois
101,2021-03-30 16:29:34,861,"BestCam Selfie-selfie, beauty camera, photo editor",BEAUTY,3.9,1739,21000000.0,500000,Free,0.0,Everyone,Beauty,2018-07-12,1.0.6,4.0.3 and up,2062,Nathan Cline,40,Kentucky
102,2021-03-30 16:29:35,679,Mirror - Zoom & Exposure -,BEAUTY,3.9,32090,0.0,1000000,Free,0.0,Everyone,Beauty,2016-10-24,Varies with device,Varies with device,6730,Kylie Chang,44,Delaware
103,2021-03-30 16:29:36,496,Beauty Selfie Camera,BEAUTY,4.2,2225,52000000.0,500000,Free,0.0,Everyone,Beauty,2018-02-28,1.6,4.1 and up,2014,Sarah Smith,49,South Dakota
104,2021-03-30 16:29:37,136,Hairstyles step by step,BEAUTY,4.6,4369,14000000.0,100000,Free,0.0,Everyone,Beauty,2018-07-25,1.9,4.0.3 and up,5605,Grant Collins,50,Ohio
105,2021-03-30 16:29:38,688,Filters for Selfie,BEAUTY,4.3,8572,25000000.0,1000000,Free,0.0,Everyone,Beauty,2018-05-10,1.1.0,4.0 and up,4944,Mr. Patrick Brown,29,Wyoming
106,2021-03-30 16:29:39,195,Tie - Always be happy,BEAUTY,4.7,964,9000000.0,50000,Free,0.0,Everyone,Beauty,2018-06-21,4.0,4.2 and up,8972,Theresa Gilbert,53,Michigan
107,2021-03-30 16:29:40,360,Ulta Beauty,BEAUTY,4.7,42050,0.0,1000000,Free,0.0,Everyone,Beauty,2018-06-05,5.4,5.0 and up,9204,Doris Smith,63,Florida
108,2021-03-30 16:29:41,453,Prom MakeUp Tutorial,BEAUTY,4.8,104,12000000.0,10000,Free,0.0,Everyone,Beauty,2018-06-26,1.3,4.0.3 and up,7667,Nancy Collins,62,Wyoming
109,2021-03-30 16:29:42,690,Selfie Camera,BEAUTY,4.2,17934,0.0,1000000,Free,0.0,Everyone,Beauty,2017-09-12,Varies with device,Varies with device,8228,Michelle Garcia,41,South Dakota
110,2021-03-30 16:29:43,695,Sweet Selfie Beauty Camera,BEAUTY,4.3,601,35000000.0,100000,Free,0.0,Everyone,Beauty,2018-06-02,2.0.0,4.0 and up,8659,Joseph Fuller,48,New Hampshire
111,2021-03-30 16:29:44,326,Colors of white in Urdu,BEAUTY,4.5,36,6700000.0,10000,Free,0.0,Everyone,Beauty,2018-07-26,6.0,4.0 and up,3133,Debra Calhoun,46,Nevada
112,2021-03-30 16:29:45,643,Selfie Camera Photo Editor & Filter & Sticker,BEAUTY,4.1,187,30000000.0,50000,Free,0.0,Teen,Beauty,2018-07-24,3.0.1,4.0.3 and up,8230,Miranda Orozco,20,Massachusetts
113,2021-03-30 16:29:46,798,Wrinkles and rejuvenation,BEAUTY,4.3,182,5700000.0,100000,Free,0.0,Everyone 10+,Beauty,2017-09-20,8.0,3.0 and up,9649,Nathaniel Cole,25,Wyoming
114,2021-03-30 16:29:47,246,Eyes Makeup Beauty Tips,BEAUTY,4.2,30,2900000.0,10000,Free,0.0,Everyone,Beauty,2018-04-09,3.3.9,4.0.3 and up,4583,Brandy Williams,16,Nebraska
115,2021-03-30 16:29:48,746,Photo Editor 2018,BEAUTY,4.5,134,17000000.0,10000,Free,0.0,Everyone,Beauty,2018-03-01,1.20,4.0.3 and up,7464,Lindsey Dunn,46,New Jersey
116,2021-03-30 16:29:49,365,Step By Step Eyes Makeup Tutorial,BEAUTY,4.4,74,2900000.0,10000,Free,0.0,Everyone,Beauty,2018-04-05,2.3.09,4.0.3 and up,8530,Jennifer Garcia,30,South Dakota
