event_id,download_date,user_id,app,category,rating,reviews,app_size,installs,app_type,price,content_rating,genres,last_updated,current_version,android_version,app_id,user_name,user_age,user_location,time_spent_min
20,2021-03-31,361,"U Launcher Lite – FREE Live Cool Themes, Hide Apps",ART_AND_DESIGN,4.7,87510,8700000.0,5000000,Free,0.0,Everyone,Art & Design,2018-08-01,1.2.4,4.0.3 and up,9156,Karen Flores,48,Indiana,316
21,2021-03-31,723,Sketch - Draw & Paint,ART_AND_DESIGN,4.5,215644,25000000.0,50000000,Free,0.0,Teen,Art & Design,2018-06-08,Varies with device,4.2 and up,8327,Julie Coleman,49,Wyoming,153
22,2021-03-31,688,Paper flowers instructions,ART_AND_DESIGN,4.4,167,5600000.0,50000,Free,0.0,Everyone,Art & Design,2017-03-26,1.0,2.3 and up,7378,Linda Kennedy,46,Wisconsin,208
23,2021-03-31,259,Smoke Effect Photo Maker - Smoke Editor,ART_AND_DESIGN,3.8,178,19000000.0,50000,Free,0.0,Everyone,Art & Design,2018-04-26,1.1,4.0.3 and up,8380,Amy Thompson,56,Washington,259
24,2021-03-31,937,Infinite Painter,ART_AND_DESIGN,4.1,36815,29000000.0,1000000,Free,0.0,Everyone,Art & Design,2018-06-14,6.1.61.1,4.2 and up,5878,Erin Montoya,35,Vermont,295
25,2021-03-31,816,Pixel Draw - Number Art Coloring Book,ART_AND_DESIGN,4.3,967,2800000.0,100000,Free,0.0,Everyone,Art & Design;Creativity,2018-06-20,1.1,4.4 and up,7522,Kelly Alvarez,49,Utah,228
26,2021-03-31,684,Kids Paint Free - Drawing Fun,ART_AND_DESIGN,4.7,121,3100000.0,10000,Free,0.0,Everyone,Art & Design;Creativity,2018-07-03,2.8,4.0.3 and up,6091,Adam Saunders,46,Michigan,236
27,2021-03-31,4,Text on Photo - Fonteee,ART_AND_DESIGN,4.4,13880,28000000.0,1000000,Free,0.0,Everyone,Art & Design,2017-10-27,1.0.4,4.1 and up,8832,Matthew Lloyd,55,Oregon,96
28,2021-03-31,266,Name Art Photo Editor - Focus n Filters,ART_AND_DESIGN,4.4,8788,12000000.0,1000000,Free,0.0,Everyone,Art & Design,2018-07-31,1.0.15,4.0 and up,7023,Donna Keller,23,Nevada,294
29,2021-03-31,923,Tattoo Name On My Photo Editor,ART_AND_DESIGN,4.2,44829,20000000.0,10000000,Free,0.0,Teen,Art & Design,2018-04-02,3.8,4.1 and up,8776,Luis Mckay,58,New Hampshire,107
30,2021-03-31,787,Mandala Coloring Book,ART_AND_DESIGN,4.6,4326,21000000.0,100000,Free,0.0,Everyone,Art & Design,2018-06-26,1.0.4,4.4 and up,6525,Danielle George,19,Texas,398
31,2021-03-31,11,Garden Coloring Book,ART_AND_DESIGN,4.4,13791,33000000.0,1000000,Free,0.0,Everyone,Art & Design,2017-09-20,2.9.2,3.0 and up,5304,Kenneth Hays,61,Vermont,335
32,2021-03-31,813,3D Color Pixel by Number - Sandbox Art Coloring,ART_AND_DESIGN,4.4,1518,37000000.0,100000,Free,0.0,Everyone,Art & Design,2018-08-03,1.2.3,2.3 and up,560,Douglas Gill,56,Mississippi,384
33,2021-04-01,551,Used Cars Mexico,AUTO_AND_VEHICLES,4.0,190,2500000.0,50000,Free,0.0,Everyone,Auto & Vehicles,2016-10-14,1.0,2.3 and up,9256,Michael Lewis,44,Florida,150
34,2021-04-01,945,Check Vehicle Tax,AUTO_AND_VEHICLES,3.9,295,2700000.0,10000,Free,0.0,Everyone,Auto & Vehicles,2018-07-30,0.2.1,4.4 and up,2983,Barry Adams,60,South Dakota,199
35,2021-04-01,165,DMV Permit Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,6090,27000000.0,100000,Free,0.0,Everyone,Auto & Vehicles,2018-07-03,1.7,4.2 and up,3466,Stephen Reyes,43,Mississippi,236
36,2021-04-01,462,Free VIN Report for Used Cars,AUTO_AND_VEHICLES,4.6,2431,2400000.0,100000,Free,0.0,Everyone,Auto & Vehicles,2018-06-12,1.37,4.0 and up,5147,Matthew Cooper,59,Alaska,301
37,2021-04-01,346,CDL Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,7774,17000000.0,100000,Free,0.0,Everyone,Auto & Vehicles,2018-07-03,1.7,4.2 and up,2455,Virginia Miller,29,Delaware,168
38,2021-04-01,677,CityBus Lviv,AUTO_AND_VEHICLES,4.6,534,5700000.0,10000,Free,0.0,Everyone,Auto & Vehicles,2018-07-08,1.9.1,4.0.3 and up,3052,Natalie Chase DVM,41,North Carolina,93
39,2021-04-01,642,Ulysse Speedometer,AUTO_AND_VEHICLES,4.3,40211,0.0,5000000,Free,0.0,Everyone,Auto & Vehicles,2018-07-30,Varies with device,Varies with device,9223,Melissa Carrillo,58,Hawaii,348
40,2021-04-01,113,"REG - Check the regnumber, find information about Swedish vehicles",AUTO_AND_VEHICLES,3.9,3971,3600000.0,100000,Free,0.0,Everyone,Auto & Vehicles,2018-07-30,2.493,4.4 and up,7790,David Cherry,27,West Virginia,142
41,2021-04-01,854,"ezETC (ETC balance inquiry, meter trial, real-time traffic)",AUTO_AND_VEHICLES,4.3,38846,8600000.0,1000000,Free,0.0,Everyone,Auto & Vehicles,2018-07-28,2.20 Build 02,4.1 and up,9952,Andrea Hughes,43,Alabama,92
42,2021-04-01,80,REPUVE,AUTO_AND_VEHICLES,3.9,356,0.0,100000,Free,0.0,Everyone,Auto & Vehicles,2018-05-25,Varies with device,Varies with device,7793,Christopher Powell,57,Indiana,366
43,2021-04-01,949,Police Detector (Speed Camera Radar),AUTO_AND_VEHICLES,4.3,3574,3900000.0,1000000,Free,0.0,Everyone 10+,Auto & Vehicles,2018-07-04,1.6,4.0 and up,7589,Sarah Anderson,29,Florida,378
44,2021-04-01,201,"Fines of the State Traffic Safety Inspectorate are official: inspection, payment of fines",AUTO_AND_VEHICLES,4.8,116986,35000000.0,5000000,Free,0.0,Everyone,Auto & Vehicles,2018-08-02,1.9.7,4.0.3 and up,4959,Shelby Jones,29,Vermont,140
45,2021-04-01,293,SK Enca Direct Malls - Used Cars Search,AUTO_AND_VEHICLES,3.6,1379,16000000.0,500000,Free,0.0,Everyone,Auto & Vehicles,2018-08-02,2.2.21,4.2 and up,8088,Valerie Baird,45,Louisiana,339
46,2021-04-01,94,"Android Auto - Maps, Media, Messaging & Voice",AUTO_AND_VEHICLES,4.2,271920,16000000.0,10000000,Free,0.0,Teen,Auto & Vehicles,2018-07-11,Varies with device,5.0 and up,1214,Alison Cole,20,Massachusetts,321
47,2021-04-01,317,PDD-UA,AUTO_AND_VEHICLES,4.8,736,0.0,100000,Free,0.0,Everyone,Auto & Vehicles,2018-07-29,2.9,2.3.3 and up,7320,Sean Willis,39,New Hampshire,308
48,2021-04-01,381,Tickets SDA 2019 + Exam RF,AUTO_AND_VEHICLES,4.8,7021,17000000.0,500000,Free,0.0,Everyone,Auto & Vehicles,2018-07-27,1.79,4.0 and up,8971,David Wyatt,56,New Mexico,254
49,2021-04-01,692,"Police Lights, Sirens & Follow Me",AUTO_AND_VEHICLES,4.5,737,8900000.0,100000,Free,0.0,Everyone,Auto & Vehicles,2018-06-08,2.3.5.1,4.1 and up,7591,Crystal Bennett,40,Oklahoma,399
50,2021-04-01,441,Best Car Wallpapers,AUTO_AND_VEHICLES,4.5,994,2900000.0,100000,Free,0.0,Everyone,Auto & Vehicles,2018-03-27,1.6,4.1 and up,2046,Frank Brown,27,Wyoming,106
51,2021-04-01,824,Tickets + PDA 2018 Exam,AUTO_AND_VEHICLES,4.9,197136,38000000.0,1000000,Free,0.0,Everyone,Auto & Vehicles,2018-07-15,8.31,4.1 and up,8969,Christopher Brown,51,Louisiana,250
52,2021-04-01,988,Pick Your Part Garage,AUTO_AND_VEHICLES,3.9,142,32000000.0,50000,Free,0.0,Everyone,Auto & Vehicles,2018-07-24,1.1.5.0,6.0 and up,7494,Jean Kemp,25,Florida,226
53,2021-04-01,793,Restart Navigator,AUTO_AND_VEHICLES,4.0,1403,201000.0,100000,Free,0.0,Everyone,Auto & Vehicles,2014-08-26,1.0.1,2.2 and up,7940,Steven Stewart,22,Iowa,110
54,2021-04-01,68,Used cars for sale - Trovit,AUTO_AND_VEHICLES,4.2,52530,7000000.0,5000000,Free,0.0,Everyone,Auto & Vehicles,2018-07-16,4.47.3,4.0.3 and up,9260,Kristy Adams,24,Maryland,90
55,2021-04-01,114,Extreme Rally Championship,AUTO_AND_VEHICLES,4.2,129,54000000.0,100000,Free,0.0,Everyone,Auto & Vehicles,2018-07-26,3.0,4.1 and up,4571,Amber Henderson MD,37,Vermont,178
56,2021-04-01,836,Super Cars Wallpapers And Backgrounds,AUTO_AND_VEHICLES,4.6,197,3400000.0,50000,Free,0.0,Everyone,Auto & Vehicles,2018-06-14,1.3,4.0 and up,8598,Gina Taylor,55,Utah,345
57,2021-04-01,764,Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru,AUTO_AND_VEHICLES,4.9,10479,33000000.0,100000,Free,0.0,Everyone,Auto & Vehicles,2018-07-18,1.7.1,4.0 and up,8970,Terri Love,32,Ohio,337
58,2021-04-01,80,I Creative Idea,ART_AND_DESIGN,4.7,353,4200000.0,10000,Free,0.0,Teen,Art & Design,2018-04-27,1.6,4.1 and up,5806,Christopher Powell,57,Indiana,385
59,2021-04-01,845,How to draw Ladybug and Cat Noir,ART_AND_DESIGN,3.8,564,9200000.0,100000,Free,0.0,Everyone,Art & Design,2018-07-11,2.1,4.1 and up,5769,John Benson MD,47,Rhode Island,177
60,2021-04-01,633,UNICORN - Color By Number & Pixel Art Coloring,ART_AND_DESIGN,4.7,8145,24000000.0,500000,Free,0.0,Everyone,Art & Design;Creativity,2018-08-02,1.0.9,4.4 and up,9178,Anthony Sims,39,Oregon,372
61,2021-04-01,917,Floor Plan Creator,ART_AND_DESIGN,4.1,36639,0.0,5000000,Free,0.0,Everyone,Art & Design,2018-07-14,Varies with device,2.3.3 and up,5032,Jennifer Rodriguez,49,Nebraska,340
62,2021-04-01,990,PIP Camera - PIP Collage Maker,ART_AND_DESIGN,4.7,158,11000000.0,10000,Free,0.0,Everyone,Art & Design,2017-11-29,1.3,4.0.3 and up,7333,Thomas Whitney,45,Iowa,347
63,2021-04-01,901,How To Color Disney Princess - Coloring Pages,ART_AND_DESIGN,4.0,591,9400000.0,500000,Free,0.0,Everyone,Art & Design,2018-03-31,1,4.0 and up,5761,Shawn Jackson,60,Texas,242
64,2021-04-01,938,Drawing Clothes Fashion Ideas,ART_AND_DESIGN,4.2,117,15000000.0,10000,Free,0.0,Everyone,Art & Design,2018-07-20,2.0.1,4.0.3 and up,3955,Diane Hubbard,43,Kentucky,211
65,2021-04-01,197,Sad Poetry Photo Frames 2018,ART_AND_DESIGN,4.5,176,10000000.0,100000,Free,0.0,Everyone,Art & Design,2018-04-02,1.0,4.0.3 and up,8121,Yvette Odom,21,Louisiana,103
66,2021-04-01,115,Textgram - write on photos,ART_AND_DESIGN,4.4,295221,0.0,10000000,Free,0.0,Everyone,Art & Design,2018-07-30,Varies with device,Varies with device,8834,Brenda Monroe,58,Tennessee,117
67,2021-04-01,854,Paint Splash!,ART_AND_DESIGN,3.8,2206,1200000.0,100000,Free,0.0,Everyone,Art & Design;Creativity,2018-04-15,1.46,4.1 and up,7371,Andrea Hughes,43,Alabama,367
68,2021-04-01,330,Easy Origami Ideas,ART_AND_DESIGN,4.2,1015,11000000.0,100000,Free,0.0,Everyone,Art & Design,2018-01-06,1.1.0,4.1 and up,4360,Nicole Morris,46,Georgia,153
69,2021-04-01,545,"Canva: Poster, banner, card maker & graphic design",ART_AND_DESIGN,4.7,174531,24000000.0,10000000,Free,0.0,Everyone,Art & Design,2018-07-31,1.6.1,4.1 and up,2872,Patrick Ryan,22,Alabama,311
70,2021-04-01,444,Popsicle Sticks and Similar DIY Craft Ideas,ART_AND_DESIGN,4.2,26,12000000.0,10000,Free,0.0,Everyone,Art & Design,2018-01-03,1.0.0,4.1 and up,7602,Anthony Garcia,37,Nevada,303
71,2021-04-01,280,Offroad Oil Tanker Driver Transport Truck 2019,AUTO_AND_VEHICLES,4.3,542,33000000.0,100000,Free,0.0,Everyone,Auto & Vehicles,2018-07-31,4.0,4.1 and up,7219,Brandon Reed,50,Iowa,175
72,2021-04-01,889,American Muscle Car Race,AUTO_AND_VEHICLES,3.9,129,35000000.0,100000,Free,0.0,Everyone,Auto & Vehicles,2018-07-26,3.0,4.1 and up,1195,Hayden Smith,63,Minnesota,166
73,2021-04-01,719,Used Cars and Trucks for Sale,AUTO_AND_VEHICLES,4.6,17057,0.0,1000000,Free,0.0,Everyone,Auto & Vehicles,2018-07-30,Varies with device,Varies with device,9257,Catherine Jennings,18,Iowa,267
74,2021-04-01,309,Ultimate F1 Racing Championship,AUTO_AND_VEHICLES,3.8,284,57000000.0,100000,Free,0.0,Everyone,Auto & Vehicles,2018-07-26,3.0,4.1 and up,9214,Christopher Jacobson,61,Ohio,309
75,2021-04-01,184,Gas Prices (Germany only),AUTO_AND_VEHICLES,4.4,805,5600000.0,50000,Free,0.0,Everyone,Auto & Vehicles,2018-07-29,2.5.1,4.4 and up,5311,Rachel Chambers,52,Vermont,138
76,2021-04-01,415,Real Tractor Farming,AUTO_AND_VEHICLES,4.0,1598,56000000.0,1000000,Free,0.0,Everyone,Auto & Vehicles,2018-07-26,11.0,4.1 and up,7880,Donna Wilcox,58,New Hampshire,132
77,2021-04-01,630,Monster Truck Stunt 3D 2019,AUTO_AND_VEHICLES,4.2,367,25000000.0,100000,Free,0.0,Everyone,Auto & Vehicles,2018-05-10,1.0,4.0.3 and up,6797,Jennifer Pineda,54,Louisiana,162
78,2021-04-01,866,How To Draw Food,ART_AND_DESIGN,4.3,845,7900000.0,100000,Free,0.0,Everyone,Art & Design,2018-05-28,1.0,2.3 and up,5762,Billy Harmon,45,Rhode Island,294
79,2021-04-01,485,Little Teddy Bear Colouring Book Game,ART_AND_DESIGN,4.2,85,8000000.0,100000,Free,0.0,Everyone,Art & Design,2017-12-17,2.0.0,4.1 and up,6343,Randy Durham,62,Wisconsin,124
80,2021-04-01,330,Install images with music to make video without Net - 2018,ART_AND_DESIGN,4.6,1070,26000000.0,100000,Free,0.0,Everyone,Art & Design,2017-11-14,1.6,4.1 and up,5900,Nicole Morris,46,Georgia,118
81,2021-04-02,558,Tie - Always be happy,BEAUTY,4.7,964,9000000.0,50000,Free,0.0,Everyone,Beauty,2018-06-21,4.0,4.2 and up,8972,Zachary Byrd,64,South Carolina,382
82,2021-04-02,276,Ulta Beauty,BEAUTY,4.7,42050,0.0,1000000,Free,0.0,Everyone,Beauty,2018-06-05,5.4,5.0 and up,9204,Joshua Burke,43,Arizona,246
83,2021-04-02,470,Prom MakeUp Tutorial,BEAUTY,4.8,104,12000000.0,10000,Free,0.0,Everyone,Beauty,2018-06-26,1.3,4.0.3 and up,7667,Jennifer Koch,61,Massachusetts,191
84,2021-04-02,839,Selfie Camera,BEAUTY,4.2,17934,0.0,1000000,Free,0.0,Everyone,Beauty,2017-09-12,Varies with device,Varies with device,8228,Janice Perry,45,Pennsylvania,161
85,2021-04-02,525,Sweet Selfie Beauty Camera,BEAUTY,4.3,601,35000000.0,100000,Free,0.0,Everyone,Beauty,2018-06-02,2.0.0,4.0 and up,8659,Curtis Martinez,46,New Jersey,273
86,2021-04-02,8,Colors of white in Urdu,BEAUTY,4.5,36,6700000.0,10000,Free,0.0,Everyone,Beauty,2018-07-26,6.0,4.0 and up,3133,Susan Brown,55,Washington,324
87,2021-04-02,13,Selfie Camera Photo Editor & Filter & Sticker,BEAUTY,4.1,187,30000000.0,50000,Free,0.0,Teen,Beauty,2018-07-24,3.0.1,4.0.3 and up,8230,Karen Hudson,23,Connecticut,367
88,2021-04-02,654,Wrinkles and rejuvenation,BEAUTY,4.3,182,5700000.0,100000,Free,0.0,Everyone 10+,Beauty,2017-09-20,8.0,3.0 and up,9649,Robert Anderson,56,Arizona,95
89,2021-04-02,119,Eyes Makeup Beauty Tips,BEAUTY,4.2,30,2900000.0,10000,Free,0.0,Everyone,Beauty,2018-04-09,3.3.9,4.0.3 and up,4583,Michael Duffy,28,Michigan,136
90,2021-04-02,33,Photo Editor 2018,BEAUTY,4.5,134,17000000.0,10000,Free,0.0,Everyone,Beauty,2018-03-01,1.20,4.0.3 and up,7464,Caleb Snyder,41,North Dakota,311
91,2021-04-02,251,Step By Step Eyes Makeup Tutorial,BEAUTY,4.4,74,2900000.0,10000,Free,0.0,Everyone,Beauty,2018-04-05,2.3.09,4.0.3 and up,8530,Mr. Justin Villa,24,South Dakota,352
92,2021-04-02,385,Girls Hairstyles,BEAUTY,4.1,3595,0.0,500000,Free,0.0,Everyone,Beauty,2018-05-24,Varies with device,4.0 and up,5350,Paul King,56,Washington,176
93,2021-04-02,923,Makeup Videos,BEAUTY,3.8,9,3400000.0,5000,Free,0.0,Everyone,Beauty,2018-06-07,1.0,4.0 and up,6518,Luis Mckay,58,New Hampshire,261
94,2021-04-02,247,Mirror Camera (Mirror + Selfie Camera),BEAUTY,4.1,9315,2600000.0,1000000,Free,0.0,Everyone,Beauty,2017-11-21,1.4.2,4.0 and up,6731,Daniel Brown,56,Wyoming,385
95,2021-04-02,356,Beauty Tips - Beauty Tips in Sinhala,BEAUTY,4.4,75,4200000.0,50000,Free,0.0,Everyone,Beauty,2017-10-18,1.0.0,4.0.3 and up,2015,Dominic Crane,30,Alabama,280
96,2021-04-02,868,Haircut Tutorials/Haircut Videos,BEAUTY,4.6,38,7100000.0,10000,Free,0.0,Everyone,Beauty,2018-05-29,1.0,4.0 and up,5604,Suzanne Robles,43,Louisiana,337
97,2021-04-02,852,Manicure - nail design,BEAUTY,4.3,119,3700000.0,50000,Free,0.0,Everyone,Beauty,2018-07-23,1.3,4.1 and up,6537,Ronald Montgomery,38,Iowa,372
98,2021-04-02,685,"Sticker Camera - Selfie Filters, Beauty Camera",BEAUTY,3.9,2277,22000000.0,500000,Free,0.0,Everyone,Beauty,2018-07-12,1.1.0,4.0.3 and up,8536,Donald Hoover,51,Connecticut,214
99,2021-04-02,26,Filters for B Live,BEAUTY,4.4,2280,24000000.0,500000,Free,0.0,Everyone,Beauty,2018-05-14,1.1.0,4.0 and up,4943,Mr. Chase Harris,59,Indiana,223
100,2021-04-02,318,Skin Care and Natural Beauty,BEAUTY,4.3,654,7400000.0,100000,Free,0.0,Teen,Beauty,2018-07-17,1.15,4.1 and up,8332,Curtis Powell,51,New Hampshire,235
101,2021-04-02,953,Facial Wrinkle Reduction,BEAUTY,4.6,184,21000000.0,10000,Free,0.0,Everyone,Beauty,2018-07-02,1.5,4.1 and up,4838,Nathan Townsend,38,Arkansas,135
102,2021-04-02,473,Filters for Selfie,BEAUTY,4.3,8572,25000000.0,1000000,Free,0.0,Everyone,Beauty,2018-05-10,1.1.0,4.0 and up,4944,Mark Hill,45,Massachusetts,101
103,2021-04-02,722,Beauty Camera - Selfie Camera,BEAUTY,4.0,113715,0.0,10000000,Free,0.0,Everyone,Beauty,2017-08-03,Varies with device,Varies with device,2009,James Williams,38,Indiana,182
104,2021-04-02,806,"Sephora: Skin Care, Beauty Makeup & Fragrance Shop",BEAUTY,4.5,26834,57000000.0,1000000,Free,0.0,Everyone,Beauty,2018-07-24,18.5,5.0 and up,8238,Colleen Wall,23,Ohio,214
105,2021-04-02,959,Hairstyles step by step,BEAUTY,4.6,4369,14000000.0,100000,Free,0.0,Everyone,Beauty,2018-07-25,1.9,4.0.3 and up,5605,Ryan Lewis,29,Kansas,204
106,2021-04-02,634,Mirror - Zoom & Exposure -,BEAUTY,3.9,32090,0.0,1000000,Free,0.0,Everyone,Beauty,2016-10-24,Varies with device,Varies with device,6730,Janet Hunt,26,Texas,141
107,2021-04-02,638,Beauty Selfie Camera,BEAUTY,4.2,2225,52000000.0,500000,Free,0.0,Everyone,Beauty,2018-02-28,1.6,4.1 and up,2014,Christopher Sanchez,36,Alaska,177
108,2021-04-02,618,PakWheels: Buy & Sell Cars,AUTO_AND_VEHICLES,4.4,15168,37000000.0,1000000,Free,0.0,Everyone,Auto & Vehicles,2018-07-27,10.0.2,4.2 and up,7374,Maria Costa,63,Pennsylvania,309
109,2021-04-02,988,Supervision service,AUTO_AND_VEHICLES,4.0,2155,15000000.0,500000,Free,0.0,Everyone,Auto & Vehicles,2018-07-30,1.10.3,5.0 and up,8636,Jean Kemp,25,Florida,275
110,2021-04-02,949,Speed Camera Detector - Traffic & Speed Alert,AUTO_AND_VEHICLES,4.3,138,5400000.0,100000,Free,0.0,Everyone,Auto & Vehicles,2018-07-23,1.0,4.0.3 and up,8466,Sarah Anderson,29,Florida,221
111,2021-04-02,161,Used car search Goo net whole car Go to net,AUTO_AND_VEHICLES,3.7,5414,18000000.0,1000000,Free,0.0,Everyone,Auto & Vehicles,2018-07-23,3.20.1,4.4 and up,9259,Albert Mason,41,Oklahoma,342
112,2021-04-02,902,CarMax – Cars for Sale: Search Used Car Inventory,AUTO_AND_VEHICLES,4.4,21777,0.0,1000000,Free,0.0,Everyone,Auto & Vehicles,2018-08-04,Varies with device,Varies with device,2891,David Esparza,42,Minnesota,377
113,2021-04-02,64,RST - Sale of cars on the PCT,AUTO_AND_VEHICLES,3.2,250,1100000.0,100000,Free,0.0,Everyone,Auto & Vehicles,2018-04-27,1.4,4.0.3 and up,7807,William Stewart,25,New York,158
114,2021-04-02,224,AutoScout24 Switzerland – Find your new car,AUTO_AND_VEHICLES,4.6,13372,0.0,1000000,Free,0.0,Everyone,Auto & Vehicles,2018-08-03,Varies with device,Varies with device,1369,Grant Rodriguez,61,Utah,115
115,2021-04-02,94,Zona Azul Digital Fácil SP CET - OFFICIAL São Paulo,AUTO_AND_VEHICLES,4.6,7880,0.0,100000,Free,0.0,Everyone,Auto & Vehicles,2018-05-10,4.6.5,Varies with device,9800,Alison Cole,20,Massachusetts,153
116,2021-04-02,308,SMS Park,AUTO_AND_VEHICLES,4.5,3617,7900000.0,100000,Free,0.0,Everyone,Auto & Vehicles,2018-05-16,2.8.2,4.1 and up,8096,Whitney Vincent,60,Indiana,310
117,2021-04-02,380,BEST CAR SOUNDS,AUTO_AND_VEHICLES,4.3,348,38000000.0,100000,Free,0.0,Everyone,Auto & Vehicles,2018-07-29,1.0.3,2.3 and up,1517,Aaron Garcia,50,Michigan,159
118,2021-04-02,867,Fuelio: Gas log & costs,AUTO_AND_VEHICLES,4.6,65786,0.0,1000000,Free,0.0,Everyone,Auto & Vehicles,2018-08-02,Varies with device,4.0.3 and up,5196,Robert Ward,47,Mississippi,286
119,2021-04-02,331,SKencar,AUTO_AND_VEHICLES,3.7,4806,35000000.0,1000000,Free,0.0,Everyone,Auto & Vehicles,2018-07-31,4.0.3,4.0.3 and up,8091,Samuel Aguilar,28,Vermont,212
120,2021-04-02,123,Natural recipes for your beauty,BEAUTY,4.7,1150,9800000.0,100000,Free,0.0,Everyone,Beauty,2018-05-15,4.0,4.1 and up,7034,Teresa Rose,49,Texas,192
121,2021-04-02,494,"ipsy: Makeup, Beauty, and Tips",BEAUTY,4.9,49790,14000000.0,1000000,Free,0.0,Everyone,Beauty,2017-11-09,2.3.0,4.1 and up,10009,Kevin Holder,31,Georgia,260
